Time (UTC), Hm0 (m), Tm02 (s), Hm0 QC (-), Tm02 QC (-)
2023-06-08T07:00:00.000000000, 1.3000657784561915, 3.933697764799556, 1.0, 1.0
2023-06-08T07:30:00.000000000, 1.2060259105766817, 3.7510771786346124, 1.0, 1.0
2023-06-08T08:00:00.000000000, 1.1767901192567274, 3.675553091325511, 1.0, 1.0
2023-06-08T08:30:00.000000000, 1.1275432907517755, 3.5937273723978738, 1.0, 1.0
2023-06-08T09:00:00.000000000, 1.1098303344702956, 3.539651968617678, 1.0, 1.0
2023-06-08T09:30:00.000000000, 1.0421950252031638, 3.2609836937138095, 1.0, 1.0
2023-06-08T10:00:00.000000000, 0.9460303763251466, 3.136465865795603, 1.0, 1.0
2023-06-08T10:30:00.000000000, 1.10262667739697, 3.6434961036742726, 1.0, 1.0
2023-06-08T11:00:00.000000000, 0.9602328202201198, 3.179811655595636, 1.0, 1.0
2023-06-08T11:30:00.000000000, 0.888500076406239, 3.0890464569413063, 1.0, 1.0
2023-06-08T12:00:00.000000000, 0.8903471126854257, 3.1090018954001355, 1.0, 1.0
2023-06-08T12:30:00.000000000, 0.8243298498857871, 3.1120290433439166, 1.0, 1.0
2023-06-08T13:00:00.000000000, 0.882423041160858, 3.432892682691516, 1.0, 1.0
2023-06-08T13:30:00.000000000, 0.8962754092513222, 3.5751384042427654, 1.0, 1.0
2023-06-08T14:00:00.000000000, 0.8529294453126287, 3.451845515402475, 1.0, 1.0
2023-06-08T14:30:00.000000000, 0.9134263963874382, 3.5276792518871716, 1.0, 1.0
2023-06-08T15:00:00.000000000, 0.8505190177124583, 3.4045112400177695, 1.0, 1.0
2023-06-08T15:30:00.000000000, 0.792760379199846, 3.261027195850156, 1.0, 1.0
2023-06-08T16:00:00.000000000, 0.8128079134863919, 3.2666132090007034, 1.0, 1.0
2023-06-08T16:30:00.000000000, 0.8209455329411418, 3.267526662799949, 1.0, 1.0
2023-06-08T17:00:00.000000000, 0.8153377863404525, 3.347306496226502, 1.0, 1.0
2023-06-08T17:30:00.000000000, 0.9081322853359637, 3.52295646891477, 1.0, 1.0
2023-06-08T18:00:00.000000000, 0.9625520664195905, 3.5576713373141824, 1.0, 1.0
2023-06-08T18:30:00.000000000, 1.1462886140181778, 3.876713097382545, 1.0, 1.0
2023-06-08T19:00:00.000000000, 1.0563409930178795, 3.5633912902998617, 1.0, 1.0
2023-06-08T19:30:00.000000000, 1.0971883259946373, 3.6108883920364465, 1.0, 1.0
2023-06-08T20:00:00.000000000, 1.2432105695964175, 3.8557166384517005, 1.0, 1.0
2023-06-08T20:30:00.000000000, 1.1929003849316402, 3.768640434357477, 1.0, 1.0
2023-06-08T21:00:00.000000000, 1.2307948582485408, 3.7252515872815284, 1.0, 1.0
2023-06-08T21:30:00.000000000, 1.2364533064441432, 3.7340146501381453, 1.0, 1.0
2023-06-08T22:00:00.000000000, 1.1492321298239483, 3.596213586033732, 1.0, 1.0
2023-06-08T22:30:00.000000000, 1.1576511464999693, 3.4770465300673434, 1.0, 1.0
2023-06-08T23:00:00.000000000, 1.0447959528473854, 3.4582451124887332, 1.0, 1.0
2023-06-08T23:30:00.000000000, 0.9640115144617417, 3.339037124871781, 1.0, 1.0
2023-06-09T00:00:00.000000000, 0.9518947671628942, 3.217454637890216, 1.0, 1.0
2023-06-09T00:30:00.000000000, 0.900256489801132, 3.227145277298998, 1.0, 1.0
2023-06-09T01:00:00.000000000, 0.8443972713752347, 3.1819187835208753, 1.0, 1.0
2023-06-09T01:30:00.000000000, 0.7690826426632219, 3.1341451766677575, 1.0, 1.0
2023-06-09T02:00:00.000000000, 0.7528233838100371, 3.263798690682598, 1.0, 1.0
2023-06-09T02:30:00.000000000, 0.6079355894135788, 2.9678398980973877, 1.0, 1.0
2023-06-09T03:00:00.000000000, 0.5489580464733732, 2.838529118911598, 1.0, 1.0
2023-06-09T03:30:00.000000000, 0.5619040041388046, 2.9656035681179085, 1.0, 1.0
2023-06-09T04:00:00.000000000, 0.549447121689029, 3.084824816871957, 1.0, 1.0
2023-06-09T04:30:00.000000000, 0.548033485156266, 3.015645482539085, 1.0, 1.0
2023-06-09T05:00:00.000000000, 0.5599363669125325, 3.062376670526519, 1.0, 1.0
2023-06-09T05:30:00.000000000, 0.5878781568582965, 3.11966426651536, 1.0, 1.0
2023-06-09T06:00:00.000000000, 0.602471928986783, 3.2061362156369464, 1.0, 1.0
2023-06-09T06:30:00.000000000, 0.606353138444472, 3.1562405306146455, 1.0, 1.0
2023-06-09T07:00:00.000000000, 0.5921009781445585, 3.0624502916358334, 1.0, 1.0
2023-06-09T07:30:00.000000000, 0.5593577516667811, 3.042151483505025, 1.0, 1.0
2023-06-09T08:00:00.000000000, 0.5917076215975837, 2.982472207238372, 1.0, 1.0
2023-06-09T08:30:00.000000000, 0.6177029308186626, 3.103199081586961, 1.0, 1.0
2023-06-09T09:00:00.000000000, 0.5717750060005501, 2.9792151109993097, 1.0, 1.0
2023-06-09T09:30:00.000000000, 0.5772557375410222, 2.9928359077769002, 1.0, 1.0
2023-06-09T10:00:00.000000000, 0.5789619931972855, 3.0061086217321664, 1.0, 1.0
2023-06-09T10:30:00.000000000, 0.5765182653485265, 2.8368677250965164, 1.0, 1.0
2023-06-09T11:00:00.000000000, 0.5278112158352283, 2.556683128466745, 1.0, 1.0
2023-06-09T11:30:00.000000000, 0.5043330768210194, 2.5145091879427555, 1.0, 1.0
2023-06-09T12:00:00.000000000, 0.4592815210597926, 2.5549274046306385, 1.0, 1.0
2023-06-09T12:30:00.000000000, 0.4427382996645322, 2.587697077342669, 1.0, 1.0
2023-06-09T13:00:00.000000000, 0.4207957163971658, 2.4147357622366856, 1.0, 1.0
2023-06-09T13:30:00.000000000, 0.4062865407799497, 2.44967968027554, 1.0, 1.0
2023-06-09T14:00:00.000000000, 0.37489567021370895, 2.5356080447519482, 1.0, 1.0
2023-06-09T14:30:00.000000000, 0.34935669373227846, 2.476734693782515, 1.0, 1.0
2023-06-09T15:00:00.000000000, 0.3522960334441148, 2.383274302793605, 1.0, 1.0
2023-06-09T15:30:00.000000000, 0.3718226540337435, 2.3808631508459097, 1.0, 1.0
2023-06-09T16:00:00.000000000, 0.36238725186545684, 2.3983753553297595, 1.0, 1.0
2023-06-09T16:30:00.000000000, 0.3504342367878066, 2.3433841544999474, 1.0, 1.0
2023-06-09T17:00:00.000000000, 0.37370576759104457, 2.569941494477944, 1.0, 1.0
2023-06-09T17:30:00.000000000, 0.40329341559711585, 2.5990147782527435, 1.0, 1.0
2023-06-09T18:00:00.000000000, 0.378325824197462, 2.5316323125402955, 1.0, 1.0
2023-06-09T18:30:00.000000000, 0.3629036288620383, 2.4987906618403657, 1.0, 1.0
2023-06-09T19:00:00.000000000, 0.35679039317516403, 2.4673759036720115, 1.0, 1.0
2023-06-09T19:30:00.000000000, 0.33940404658231565, 2.359873856419417, 1.0, 1.0
2023-06-09T20:00:00.000000000, 0.3197106877243177, 2.2434274911383496, 1.0, 1.0
2023-06-09T20:30:00.000000000, 0.32518269725308757, 2.3209690333714654, 1.0, 1.0
2023-06-09T21:00:00.000000000, 0.3013902218321796, 2.3336020596873315, 1.0, 1.0
2023-06-09T21:30:00.000000000, 0.31230956662095793, 2.408126226099458, 1.0, 1.0
